,authors,author_ids,title,abstract,pub_year,journal,citations,eprint_url,pub_url,citedby_url,scilab_url,related_articles_url,scholarbib_url
0,"['DP Finegan', 'M Scheel', 'JB Robinson']","['reEtYEkAAAAJ', '', 'Siaj-l4AAAAJ']",Investigating lithium-ion battery materials during overcharge-induced thermal runaway: an operando and multi-scale X-ray CT study,The CT system used for the remaining scans (Zeiss Xradia Versa 520) had a characteristic  spectrum from a tungsten target; the accelerating voltage and tube current are user defined  and determine the peak intensity of the bremsstrahlung and photon flux. The accelerating,2016,Physical Chemistry …,97,https://pubs.rsc.org/en/content/articlehtml/2016/cp/c6cp04251a,https://pubs.rsc.org/en/content/articlehtml/2016/cp/c6cp04251a,"/scholar?cites=12251010639713589624&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=eNmop0RVBKoJ&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:eNmop0RVBKoJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:eNmop0RVBKoJ:scholar.google.com/&output=cite&scirp=0&hl=en
1,"['Y Wang', 'Y Chai', 'C Soutis', 'PJ Withers']","['joqu0_EAAAAJ', '', 'HNjZxogAAAAJ', 'k2Jw8scAAAAJ']",Evolution of kink bands in a notched unidirectional carbon fibre-epoxy composite under four-point bending,"The Deben rig was accommodated within a Zeiss Xradia Versa 520 scanner and radiographs  were acquired continuously during loading.  A post-mortem scan was acquired on a Zeiss  Xradia Versa 400 scanner after unloading. For in situ imaging, the sample was oriented",2019,Composites Science and …,19,https://www.sciencedirect.com/science/article/pii/S0266353818310418,https://www.sciencedirect.com/science/article/pii/S0266353818310418,"/scholar?cites=5063916342388409495&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=l0RbaBWlRkYJ&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:l0RbaBWlRkYJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:l0RbaBWlRkYJ:scholar.google.com/&output=cite&scirp=1&hl=en
2,"['R White', 'S Kelly']","['8vz44ZYAAAAJ', '13erAKkAAAAJ']","Correlative, Multi-scale, Lab-based X-ray Tomography: From Millimeters to Nanometers","We present here results combining two X-ray tomography systems, the Zeiss Xradia Versa  and Zeiss Xradia Ultra instruments, into a correlative, multi-length scale analysis workflow  through the use of specifically designed hardware and software tools. We demonstrate several",2020,Microscopy and Microanalysis,1,https://www.researchgate.net/profile/Robin-White-2/publication/343324426_Correlative_Multi-Scale_Lab-Based_X-ray_Tomography_From_Millimeters_to_Nanometers/links/608745f72fb9097c0c0f9a49/Correlative-Multi-Scale-Lab-Based-X-ray-Tomography-From-Millimeters-to-Nanometers.pdf,https://www.cambridge.org/core/journals/microscopy-and-microanalysis/article/correlative-multiscale-labbased-xray-tomography-from-millimeters-to-nanometers/6F5514E4BDADAFEE297AE9B4397DBE48,"/scholar?cites=5732834286986548377&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=mVQDAGkej08J&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:mVQDAGkej08J:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:mVQDAGkej08J:scholar.google.com/&output=cite&scirp=2&hl=en
3,"['TF Johnson', 'PR Levison', 'PR Shearing']","['m7ZxHaYAAAAJ', '', 'miDT3UQAAAAJ']",X-ray computed tomography of packed bed chromatography columns for three dimensional imaging and analysis,Note that X-ray computed tomography systems vary in design as can be observed between  the Nikon XT H225 ST and Zeiss Xradia Versa 520  The same column for the ceramic packed  bed system-imaging was used for both Zeiss Xradia Versa 520 and Nikon 225 ST in order to,2017,… of Chromatography A,27,https://www.sciencedirect.com/science/article/pii/S0021967317300481,https://www.sciencedirect.com/science/article/pii/S0021967317300481,"/scholar?cites=12387591728396015924&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=NJmccQuR6asJ&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:NJmccQuR6asJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:NJmccQuR6asJ:scholar.google.com/&output=cite&scirp=3&hl=en
4,"['LL Lavery', 'J Gelb', 'AP Merkle', 'A Steinbach']","['', '2bx2FtIAAAAJ', '4ob09D8AAAAJ', '9zHtpYQAAAAJ']",X-ray microscopy for hierarchical multi-scale materials,reconstruction of the hexagonal mesostructure of a hierarchical porous polymer scaffold  material from block copolymers using ZEISS Xradia 520 Versa XRM. (A) Isosurface  visualization. (B) Skeletal networks for (A) of the polymeric (blue) and the porous (red) regions.,2014,Microscopy Today,16,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AE3C57E518AA9F70F20C32E298E15A05/S155192951400056Xa.pdf/x-ray-microscopy-for-hierarchical-multi-scale-materials.pdf,https://www.cambridge.org/core/journals/microscopy-today/article/xray-microscopy-for-hierarchical-multiscale-materials/AE3C57E518AA9F70F20C32E298E15A05,"/scholar?cites=9022503343578556159&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=_ybG2vxeNn0J&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:_ybG2vxeNn0J:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:_ybG2vxeNn0J:scholar.google.com/&output=cite&scirp=4&hl=en
5,"['RT White', 'ST Kelly', 'E Kjeang']","['8vz44ZYAAAAJ', '13erAKkAAAAJ', 'Ju5Z6p4AAAAJ']",In-Situ Capabilities of Lab-Based X-Ray Microscopy for Polymer Electrolyte Fuel Cells,"is to enable non-destructive, multi-length scale visualization for relatively large sample  sizes; with an imaging field of view range from tens of millimeters down to tens of micrometers,  and resolution capabilities reaching 500 nm in instruments such as the ZEISS Xradia Versa.",2020,ECS Meeting Abstracts,0,,https://iopscience.iop.org/article/10.1149/MA2020-02332130mtgabs/meta,,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=FRMNbteCtB0J&ei=WH9tYavfMon2yAS2_IKgBw&json=",,/scholar?q=info:FRMNbteCtB0J:scholar.google.com/&output=cite&scirp=5&hl=en
6,"['F Bernier', 'R Tahara', 'M Gendron']","['', '', '']",Additive manufacturing powder feedstock characterization using X-ray tomography,"Two different XCT devices, Nikon HMXST 225 and Zeiss Xradia Versa 520, were used to  obtain datasets with voxel sizes of 3 and 0.7 μm, respectively. Working at higher resolution  decreases the field of view: at 3 μm the inspected volume was 170 mm 3 , while it dropped to",2018,Metal Powder Report,14,,https://www.sciencedirect.com/science/article/pii/S002606571830002X,"/scholar?cites=2882073321428619170&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=og9ifGou_ycJ&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:og9ifGou_ycJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:og9ifGou_ycJ:scholar.google.com/&output=cite&scirp=6&hl=en
7,"['H Villarraga-Gómez', 'N Kotwal', 'V Ninov', 'L Omlor']","['Ojx4ZhEAAAAJ', '', '', '']",HIGH-PRECISION METROLOGY WITH HIGH-RESOLUTION COMPUTED TOMOGRAPHY USING 3D X-RAY MICROSCOPES,"This new package, Metrology Extension (MTX) for Xradia Versa, includes a workflow  designed to adjust and calibrate the XRM system to  Two-stage magnification architecture of  the ZEISS Xradia Versa 3D X-ray microscopes. The combination of both geometric and optical",NA,NA,0,https://www.academia.edu/download/64874925/Herminso_ASPE2020_Oral_Paper_1_.pdf,https://www.academia.edu/download/64874925/Herminso_ASPE2020_Oral_Paper_1_.pdf,,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=YvORKdri1B8J&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:YvORKdri1B8J:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:YvORKdri1B8J:scholar.google.com/&output=cite&scirp=7&hl=en
8,"['CA Mitchell', 'LJ Pyrak-Nolte']","['z1lynxcAAAAJ', '9fbK4XYAAAAJ']",Induced fractures from geomechanical-geochemical coupling in geo-architected rocks during drying,"Samples with and without clay minerals were imaged before and after drying with a Zeiss  Xradia Versa 3D X-Ray Microscope to examine microstructural changes. During drying, acoustic  emissions (AE) were monitored using Physical Acoustics Corporation - F15α sensors that",2018,AGU Fall Meeting Abstracts,0,,https://ui.adsabs.harvard.edu/abs/2018AGUFMMR34A..04M/abstract,,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=-o5LJQ6FNKEJ&ei=WH9tYavfMon2yAS2_IKgBw&json=",,/scholar?q=info:-o5LJQ6FNKEJ:scholar.google.com/&output=cite&scirp=8&hl=en
9,"['C Rahe', 'ST Kelly', 'MN Rad', 'DU Sauer', 'J Mayer']","['', '13erAKkAAAAJ', '', 'DLwFs3oAAAAJ', 'xDL_lH0AAAAJ']",Nanoscale X-ray imaging of ageing in automotive lithium ion battery cells,The images from the ZEISS Xradia Versa show the complete thickness of the electrode  including the current collector and the double-sided coating. These images give an  overview of the complete electrode and the geometrical data are recorded (Table 2). In Fig.,2019,Journal of power …,24,,https://www.sciencedirect.com/science/article/pii/S0378775319305944,"/scholar?cites=3845182009918697703&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=5zDtVarUXDUJ&ei=WH9tYavfMon2yAS2_IKgBw&json=","/scholar?q=related:5zDtVarUXDUJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:5zDtVarUXDUJ:scholar.google.com/&output=cite&scirp=9&hl=en
